## 1.1.1
## bam0=/dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_mapped_short_reads_Tethya_minuta.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p
all	None	1,043	100.0%	139,080,623	100.0%	788,386	0.48	0.12	9.7	16.3	36,782,558	86.1%
Proteobacteria	#1f77b4	305	100.0%	34,105,163	100.0%	659,545	0.59	0.066	10.1	18.3	10,794,544	25.3%
Chordata	#ff7f0e	33	100.0%	30,218,520	100.0%	1,519,745	0.39	0.0055	17.9	4.7	7,530,086	17.6%
no-hit	#d3d3d3	527	100.0%	26,127,126	100.0%	192,530	0.45	0.11	9.4	15.3	5,583,955	13.1%
Porifera	#d62728	24	100.0%	19,026,005	100.0%	1,926,824	0.39	0.0068	26.2	25.7	5,299,048	12.4%
Arthropoda	#9467bd	12	100.0%	6,322,795	100.0%	876,994	0.38	0.0044	18.4	4.5	1,698,946	4.0%
Bacteria-undef	#e377c2	9	100.0%	5,716,518	100.0%	1,693,439	0.47	0.12	15.1	20.0	1,837,154	4.3%
Cnidaria	#7f7f7f	7	100.0%	4,593,851	100.0%	984,923	0.39	0.0069	18.6	5.4	1,077,545	2.5%
Echinodermata	#bcbd22	3	100.0%	3,132,839	100.0%	1,777,800	0.38	0.0069	21.7	1.7	910,913	2.1%
other	#ffffff	123	100.0%	9,837,806	100.0%	858,504	0.38	0.068	2.8	10.1	2,050,367	4.8%
Nematoda	None	2	100.0%	2,359,685	100.0%	1,992,245	0.38	0.0023	19.9	1.4	674,638	1.6%
Chlamydiae	None	12	100.0%	1,623,727	100.0%	417,684	0.45	0.042	1.2	1.3	11,118	0.0%
Mucoromycota	None	1	100.0%	1,273,932	100.0%	1,273,932	0.38	0.0	22.0	0.0	386,137	0.9%
Bacteroidetes	None	94	100.0%	1,242,777	100.0%	15,601	0.36	0.023	0.2	0.4	3,322	0.0%
Annelida	None	1	100.0%	1,044,500	100.0%	1,044,500	0.38	0.0	22.7	0.0	325,542	0.8%
Basidiomycota	None	1	100.0%	858,504	100.0%	858,504	0.38	0.0	20.6	0.0	242,324	0.6%
Mollusca	None	1	100.0%	541,223	100.0%	541,223	0.39	0.0	21.8	0.0	162,056	0.4%
Brachiopoda	None	1	100.0%	503,841	100.0%	503,841	0.4	0.0	22.0	0.0	152,563	0.4%
Hemichordata	None	1	100.0%	140,191	100.0%	140,191	0.38	0.0	23.1	0.0	44,665	0.1%
Euryarchaeota	None	1	100.0%	104,625	100.0%	104,625	0.59	0.0	2.7	0.0	3,832	0.0%
Planctomycetes	None	1	100.0%	54,078	100.0%	54,078	0.66	0.0	23.4	0.0	17,400	0.0%
Firmicutes	None	2	100.0%	36,429	100.0%	23,993	0.55	0.12	10.3	0.6	5,267	0.0%
Uroviricota	None	2	100.0%	16,104	100.0%	10,985	0.48	0.092	0.1	0.0	0	0.0%
Acidobacteria	None	1	100.0%	15,991	100.0%	15,991	0.59	0.0	95.3	0.0	20,976	0.0%
Nitrospirae	None	1	100.0%	15,846	100.0%	15,846	0.58	0.0	2.4	0.0	527	0.0%
Actinobacteria	None	1	100.0%	6,353	100.0%	6,353	0.63	0.0	0.1	0.0	0	0.0%
