## 1.1.1								
## assembly	: /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/renamed_Tethya_minuta_all_LRScaf_2.fasta							
## coverage	 bam0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_mapped_short_reads_Tethya_minuta.bam							
## taxonomy	 tax0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/modified_megablast.out							
## nodesDB	: None							
## taxrule	: bestsum							
## min_score	: 0.0							
## min_diff	: 0.0							
## tax_collision_random	: False							
##								
scaffold	length	GC_raw	N	coverage	phylum.t.6s	phylum.s.7s	phylum.c.8	GC
Scaffolds_0	743810	0.5981	2624	3.4001	Proteobacteria	959	0	59.81
Scaffolds_1	154819	0.3862	0	11.6806	no-hit	0	0	38.62
Scaffolds_2	316177	0.3792	0	18.4133	no-hit	0	0	37.92
Scaffolds_3	140191	0.3812	0	23.1359	Hemichordata	189	0	38.12
Scaffolds_4	104337	0.7247	3835	33.8895	Proteobacteria	1548	0	72.47
Scaffolds_5	125264	0.3807	1408	20.5194	no-hit	0	0	38.07
Scaffolds_6	85106	0.386	0	18.0302	no-hit	0	0	38.6
Scaffolds_7	467761	0.379	0	19.06	Chordata	154	0	37.9
Scaffolds_8	1273932	0.3813	0	22.0107	Mucoromycota	361	0	38.13
Scaffolds_9	438271	0.3769	13512	23.9769	Echinodermata	159	0	37.69
Scaffolds_10	773467	0.3757	2580	20.5124	Porifera	23556	0	37.57
Scaffolds_11	642189	0.3861	16112	15.7379	no-hit	0	0	38.61
Scaffolds_12	81392	0.3714	4861	10.0987	no-hit	0	0	37.14
Scaffolds_13	75098	0.3882	0	8.4522	no-hit	0	0	38.82
Scaffolds_14	1693439	0.7003	9007	18.6769	Bacteria-undef	2100	0	70.03
Scaffolds_15	27239	0.3665	7179	15.6275	no-hit	0	0	36.65
Scaffolds_16	104162	0.7088	296	9.4636	Proteobacteria	174	0	70.88
Scaffolds_17	111538	0.3813	0	18.0439	no-hit	0	0	38.13
Scaffolds_18	66613	0.3682	0	27.0517	no-hit	0	0	36.82
Scaffolds_19	46379	0.3829	0	16.2038	no-hit	0	0	38.29
Scaffolds_20	319779	0.7015	7507	19.3082	Proteobacteria	1408	0	70.15
Scaffolds_21	193151	0.3593	1480	11.5133	no-hit	0	0	35.93
Scaffolds_22	2416165	0.3892	5819	20.6767	Porifera	285	0	38.92
Scaffolds_23	3614561	0.3877	18229	18.6856	Porifera	1088	0	38.77
Scaffolds_24	190405	0.5975	2686	0.0863	Proteobacteria	2060	0	59.75
Scaffolds_25	66077	0.389	0	14.0867	no-hit	0	0	38.9
Scaffolds_26	38818	0.3846	0	18.0542	no-hit	0	0	38.46
Scaffolds_27	41945	0.3653	0	18.5226	no-hit	0	0	36.53
Scaffolds_28	1044500	0.3832	2474	22.6865	Annelida	270	0	38.32
Scaffolds_29	23980	0.369	6054	14.231	no-hit	0	0	36.9
Scaffolds_30	140549	0.3773	0	8.8552	no-hit	0	0	37.73
Scaffolds_31	274712	0.3829	3385	9.419	Porifera	2394	0	38.29
Scaffolds_32	66567	0.3879	24763	11.4908	no-hit	0	0	38.79
Scaffolds_33	47309	0.3804	1736	20.3656	no-hit	0	0	38.04
Scaffolds_34	38181	0.7249	0	26.5964	no-hit	0	0	72.49
Scaffolds_35	21636	0.7033	0	18.641	no-hit	0	0	70.33
Scaffolds_36	18480	0.733	0	12.5273	no-hit	0	0	73.3
Scaffolds_37	439837	0.5749	7200	0.0893	Proteobacteria	5269	0	57.49
Scaffolds_38	51337	0.3883	4628	13.549	no-hit	0	0	38.83
Scaffolds_39	25327	0.5692	5573	4.4333	Proteobacteria	2152	0	56.92
