tethya01_3315	twilhelma_v1_3557_len_5042
tethya01_3314	twilhelma_v1_3556_len_5043
tethya01_3316	twilhelma_v1_3558_len_5036
tethya01_3311	twilhelma_v1_3554_len_5044
tethya01_3313	twilhelma_v1_3555_len_5044
tethya01_3312	twilhelma_v1_3553_len_5046
tethya01_3319	twilhelma_v1_3576_len_5005
tethya01_3318	twilhelma_v1_3566_len_5018
tethya01_793	twilhelma_v1_1588_len_15115
tethya01_792	twilhelma_v1_0363_len_89284
tethya01_791	twilhelma_v1_1855_len_11687
tethya01_790	twilhelma_v1_1142_len_26784
tethya01_797	twilhelma_v1_0467_len_75673
tethya01_796	twilhelma_v1_1231_len_23054
tethya01_795	twilhelma_v1_1623_len_14614
tethya01_794	twilhelma_v1_1997_len_10267
tethya01_799	twilhelma_v1_1157_len_26108
tethya01_798	twilhelma_v1_1959_len_10469
tethya01_249	twilhelma_v1_0058_len_188120
tethya01_248	twilhelma_v1_1066_len_29773
tethya01_241	twilhelma_v1_1253_len_22444
tethya01_240	twilhelma_v1_1000_len_32719
tethya01_243	twilhelma_v1_3727_len_4704
tethya01_242	twilhelma_v1_0012_len_281530
tethya01_245	twilhelma_v1_1979_len_10345
tethya01_244	twilhelma_v1_0064_len_182044
tethya01_247	twilhelma_v1_0853_len_40845
tethya01_246	twilhelma_v1_3481_len_5217
tethya01_2631	twilhelma_v1_2945_len_6755
tethya01_2635	twilhelma_v1_2947_len_6732
tethya01_6789	twilhelma_v1_1412_len_18385
tethya01_6788	twilhelma_v1_1439_len_17843
tethya01_6785	twilhelma_v1_1378_len_19010
tethya01_6784	twilhelma_v1_1374_len_19098
tethya01_6787	twilhelma_v1_1408_len_18513
tethya01_6786	twilhelma_v1_1409_len_18455
tethya01_6781	twilhelma_v1_1345_len_19875
tethya01_6783	twilhelma_v1_1369_len_19174
tethya01_6782	twilhelma_v1_1352_len_19634
tethya01_7568	twilhelma_v1_0578_len_63223
tethya01_7569	twilhelma_v1_0576_len_63397
tethya01_7562	twilhelma_v1_1029_len_31394
tethya01_7563	twilhelma_v1_0246_len_113477
tethya01_7560	twilhelma_v1_1203_len_24304
tethya01_7561	twilhelma_v1_0993_len_32950
tethya01_7567	twilhelma_v1_0892_len_38982
tethya01_7564	twilhelma_v1_0409_len_81916
tethya01_7565	twilhelma_v1_0463_len_76220
tethya01_4066	twilhelma_v1_4220_len_3648
tethya01_4067	twilhelma_v1_4223_len_3644
tethya01_4065	twilhelma_v1_4221_len_3646
tethya01_929	twilhelma_v1_0473_len_74998
tethya01_5686	twilhelma_v1_5704_len_1501
tethya01_4068	twilhelma_v1_4224_len_3644
tethya01_4069	twilhelma_v1_4225_len_3644
tethya01_5688	twilhelma_v1_5706_len_1499
tethya01_1920	twilhelma_v1_2404_len_8736
tethya01_1921	twilhelma_v1_2407_len_8723
tethya01_1923	twilhelma_v1_2524_len_8333
tethya01_1927	twilhelma_v1_2408_len_8713
tethya01_1928	twilhelma_v1_2410_len_8708
tethya01_7786	twilhelma_v1_0073_len_178444
tethya01_7787	twilhelma_v1_0007_len_315884
tethya01_7784	twilhelma_v1_0166_len_135089
tethya01_7785	twilhelma_v1_0134_len_146082
tethya01_7780	twilhelma_v1_0805_len_44988
tethya01_7781	twilhelma_v1_0402_len_82798
tethya01_7788	twilhelma_v1_0925_len_36796
tethya01_4202	twilhelma_v1_4349_len_3397
tethya01_4203	twilhelma_v1_4350_len_3394
tethya01_4207	twilhelma_v1_4353_len_3386
tethya01_4208	twilhelma_v1_4354_len_3385
tethya01_4209	twilhelma_v1_4356_len_3382
tethya01_927	twilhelma_v1_0700_len_52531
tethya01_1256	twilhelma_v1_3524_len_5114
tethya01_1257	twilhelma_v1_3470_len_5243
tethya01_1254	twilhelma_v1_3525_len_5112
tethya01_1253	twilhelma_v1_3464_len_5255
tethya01_1250	twilhelma_v1_3279_len_5777
tethya01_1251	twilhelma_v1_3305_len_5672
tethya01_1258	twilhelma_v1_1970_len_10431
tethya01_1259	twilhelma_v1_3610_len_4950
tethya01_403	twilhelma_v1_0094_len_168189
tethya01_402	twilhelma_v1_2002_len_10236
tethya01_401	twilhelma_v1_1915_len_10952
tethya01_400	twilhelma_v1_3286_len_5747
tethya01_407	twilhelma_v1_1829_len_11987
tethya01_406	twilhelma_v1_1387_len_18945
tethya01_405	twilhelma_v1_1845_len_11772
tethya01_404	twilhelma_v1_2801_len_7231
tethya01_409	twilhelma_v1_2816_len_7187
tethya01_408	twilhelma_v1_1382_len_18992
tethya01_1189	twilhelma_v1_1962_len_10460
tethya01_1788	twilhelma_v1_2328_len_9000
tethya01_5009	twilhelma_v1_5115_len_2210
tethya01_5008	twilhelma_v1_5118_len_2205
tethya01_1784	twilhelma_v1_2331_len_8989
tethya01_5006	twilhelma_v1_5113_len_2214
tethya01_5005	twilhelma_v1_5114_len_2211
tethya01_5556	twilhelma_v1_5599_len_1610
tethya01_1780	twilhelma_v1_2324_len_9022
tethya01_1781	twilhelma_v1_2380_len_8841
tethya01_5001	twilhelma_v1_5112_len_2218
tethya01_5000	twilhelma_v1_5124_len_2200
tethya01_1072	twilhelma_v1_0646_len_57527
tethya01_1073	twilhelma_v1_0896_len_38650
tethya01_1070	twilhelma_v1_0724_len_50335
tethya01_1071	twilhelma_v1_0290_len_101114
tethya01_1076	twilhelma_v1_0623_len_59288
tethya01_1077	twilhelma_v1_0279_len_104793
tethya01_1074	twilhelma_v1_1008_len_32350
tethya01_1075	twilhelma_v1_0675_len_54865
tethya01_1078	twilhelma_v1_1349_len_19753
tethya01_1079	twilhelma_v1_0449_len_77382
tethya01_5179	twilhelma_v1_5316_len_1933
tethya01_2781	twilhelma_v1_3081_len_6313
tethya01_2780	twilhelma_v1_3181_len_6045
tethya01_2783	twilhelma_v1_3083_len_6309
tethya01_2782	twilhelma_v1_3087_len_6305
tethya01_2788	twilhelma_v1_3085_len_6307
tethya01_5427	twilhelma_v1_5491_len_1737
tethya01_6168	twilhelma_v1_4462_len_3208
tethya01_5421	twilhelma_v1_5482_len_1752
tethya01_2528	twilhelma_v1_2854_len_7050
tethya01_2259	twilhelma_v1_2647_len_7841
tethya01_2258	twilhelma_v1_2645_len_7857
tethya01_2525	twilhelma_v1_2851_len_7059
tethya01_2255	twilhelma_v1_2643_len_7863
tethya01_2254	twilhelma_v1_2648_len_7821
tethya01_2521	twilhelma_v1_2847_len_7078
tethya01_2252	twilhelma_v1_2642_len_7865
tethya01_2250	twilhelma_v1_2641_len_7869
tethya01_6161	twilhelma_v1_4432_len_3258
tethya01_3788	twilhelma_v1_3972_len_4138
tethya01_3789	twilhelma_v1_3973_len_4134
tethya01_6160	twilhelma_v1_4426_len_3262
tethya01_3782	twilhelma_v1_3966_len_4147
tethya01_3780	twilhelma_v1_3965_len_4151
tethya01_3786	twilhelma_v1_3971_len_4140
tethya01_6163	twilhelma_v1_4439_len_3245
tethya01_3784	twilhelma_v1_3967_len_4146
tethya01_6576	twilhelma_v1_5814_len_1259
tethya01_6577	twilhelma_v1_5817_len_1257
tethya01_6574	twilhelma_v1_5811_len_1260
