## 1.1.1
## assembly	: /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/renamed_Tethya_minuta_all_LRScaf_2.fasta
## coverage	 bam0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_scaffolds.bam
## taxonomy	 tax0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/copy_megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
Scaffolds_0	743810	0.5981	2624	0.0	undef	959.0	0
Scaffolds_1	154819	0.3862	0	2.0849	no-hit	0.0	0
Scaffolds_2	316177	0.3792	0	8.8003	no-hit	0.0	0
Scaffolds_3	140191	0.3812	0	4.1667	undef	189.0	0
Scaffolds_4	104337	0.7247	3835	0.0	undef	1548.0	0
Scaffolds_5	125264	0.3807	1408	0.387	no-hit	0.0	0
Scaffolds_6	85106	0.386	0	14.8914	no-hit	0.0	0
Scaffolds_7	467761	0.379	0	13.4954	undef	154.0	0
Scaffolds_8	1273932	0.3813	0	37.8033	undef	361.0	0
Scaffolds_9	438271	0.3769	13512	20.09	undef	159.0	0
Scaffolds_10	773467	0.3757	2580	8.748	undef	23556.0	0
Scaffolds_11	642189	0.3861	16112	2.7072	no-hit	0.0	0
Scaffolds_12	81392	0.3714	4861	1.0451	no-hit	0.0	0
Scaffolds_13	75098	0.3882	0	0.7655	no-hit	0.0	0
Scaffolds_14	1693439	0.7003	9007	0.0046	undef	2100.0	0
Scaffolds_15	27239	0.3665	7179	6.006	no-hit	0.0	0
Scaffolds_16	104162	0.7088	296	0.0	undef	174.0	0
Scaffolds_17	111538	0.3813	0	0.1762	no-hit	0.0	0
Scaffolds_18	66613	0.3682	0	1.5274	no-hit	0.0	0
Scaffolds_19	46379	0.3829	0	0.0832	no-hit	0.0	0
Scaffolds_20	319779	0.7015	7507	0.0003	undef	1408.0	0
Scaffolds_21	193151	0.3593	1480	0.0422	no-hit	0.0	0
Scaffolds_22	2416165	0.3892	5819	29.8615	undef	285.0	0
Scaffolds_23	3614561	0.3877	18229	51.6173	undef	1088.0	0
Scaffolds_24	190405	0.5975	2686	0.002	undef	2060.0	0
Scaffolds_25	66077	0.389	0	0.2779	no-hit	0.0	0
Scaffolds_26	38818	0.3846	0	11.7195	no-hit	0.0	0
Scaffolds_27	41945	0.3653	0	0.0219	no-hit	0.0	0
Scaffolds_28	1044500	0.3832	2474	29.7636	undef	270.0	0
Scaffolds_29	23980	0.369	6054	2.2591	no-hit	0.0	0
Scaffolds_30	140549	0.3773	0	2.9108	no-hit	0.0	0
Scaffolds_31	274712	0.3829	3385	6.485	undef	2394.0	0
Scaffolds_32	66567	0.3879	24763	0.1604	no-hit	0.0	0
Scaffolds_33	47309	0.3804	1736	2.6115	no-hit	0.0	0
Scaffolds_34	38181	0.7249	0	0.0	no-hit	0.0	0
Scaffolds_35	21636	0.7033	0	0.0	no-hit	0.0	0
Scaffolds_36	18480	0.733	0	0.0	no-hit	0.0	0
Scaffolds_37	439837	0.5749	7200	0.0	undef	5269.0	0
Scaffolds_38	51337	0.3883	4628	0.1573	no-hit	0.0	0
Scaffolds_39	25327	0.5692	5573	0.0	undef	2152.0	0
Scaffolds_40	701041	0.3888	4017	69.6855	undef	193.0	0
Scaffolds_41	26730	0.4288	6077	0.0	no-hit	0.0	0
Scaffolds_42	3169	0.3541	0	0.0	no-hit	0.0	0
Scaffolds_43	282425	0.3803	0	12.4796	undef	193.0	0
Scaffolds_44	938770	0.3787	0	20.3807	undef	195.0	0
Scaffolds_45	469646	0.3917	23841	2.5462	no-hit	0.0	0
Scaffolds_46	14207	0.4107	0	0.0711	no-hit	0.0	0
Scaffolds_47	51088	0.3801	0	20.4375	no-hit	0.0	0
Scaffolds_48	42844	0.3809	0	0.0236	no-hit	0.0	0
Scaffolds_49	32796	0.5668	721	0.0	undef	16214.0	0
Scaffolds_50	554491	0.3883	18439	3.0017	no-hit	0.0	0
Scaffolds_51	54569	0.3958	0	10.1104	no-hit	0.0	0
Scaffolds_52	6109	0.3981	0	3.6979	no-hit	0.0	0
Scaffolds_53	788386	0.3869	0	24.5239	undef	407.0	0
Scaffolds_54	59229	0.3592	7521	0.0	undef	1064.0	0
Scaffolds_55	59445	0.5941	0	0.0	undef	2494.0	0
Scaffolds_56	109215	0.6135	0	0.0	undef	2401.0	0
Scaffolds_57	11998	0.3323	0	0.0153	no-hit	0.0	0
Scaffolds_58	1043729	0.3903	6337	53.0701	undef	246.0	0
Scaffolds_59	61433	0.6587	12080	0.0	undef	1727.0	0
Scaffolds_60	518110	0.3762	8148	5.1789	undef	320.0	0
Scaffolds_61	70971	0.639	3583	0.0055	undef	154.0	0
